configuration,input_batch,input_width,input_height,weight_batch,weight_width,weight_height,output_batch,output_width,output_height,tiled_output_batch,tiled_output_width,tiled_output_height,tiled_kernel_width,actual_input_batch,actual_input_width,actual_input_height,actual_weight_batch,actual_weight_width,actual_weight_height,actual_output_batch,actual_output_width,actual_output_height,number_of_tiles,simulation_cycles,total_power,area,runtime_in_s,gflops,gflops_per_watt,energy_consumed,flop_count
vgg16_tile_matmul_1_116464,1,1,25088,1,25088,4096,1,1,4096,1,1,64,64,1,1,128,1,128,128,1,1,128,6272.0,972260352.0,0.00566,49986.0,9.722604,0.021138,3.734629,0.05502993864,205520896
vgg16_tile_matmul_1_1164128,1,1,25088,1,25088,4096,1,1,4096,1,1,64,128,1,1,128,1,128,128,1,1,128,6272.0,866288640.0,0.00442,38902.0,8.662886,0.023724,5.367421,0.03828995612,205520896
vgg16_tile_matmul_1_111284,1,1,25088,1,25088,4096,1,1,4096,1,1,128,4,1,1,128,1,128,128,1,1,128,6272.0,838591488.0,0.00525,44965.0,8.385915,0.024508,4.66819,0.04402605375,205520896
vgg16_tile_matmul_1_111288,1,1,25088,1,25088,4096,1,1,4096,1,1,128,8,1,1,128,1,128,128,1,1,128,6272.0,799855616.0,0.00616,52270.0,7.998556,0.025695,4.171266,0.04927110496,205520896
vgg16_tile_matmul_1_1112816,1,1,25088,1,25088,4096,1,1,4096,1,1,128,16,1,1,128,1,128,128,1,1,128,6272.0,780487680.0,0.00806,66891.0,7.804877,0.026332,3.266998,0.06290730862,205520896
vgg16_tile_matmul_1_1112832,1,1,25088,1,25088,4096,1,1,4096,1,1,128,32,1,1,128,1,128,128,1,1,128,6272.0,978682880.0,0.0056,49552.0,9.786829,0.021,3.75,0.0548062424,205520896
vgg16_tile_matmul_1_1112864,1,1,25088,1,25088,4096,1,1,4096,1,1,128,64,1,1,128,1,128,128,1,1,128,6272.0,869499904.0,0.00449,38809.0,8.694999,0.023637,5.264365,0.03904054551,205520896
vgg16_tile_matmul_2_0000,1,1,4096,1,4096,4096,1,1,4096,0,0,0,0,1,1,128,1,128,128,1,1,128,1024.0,141300736.0,0.00438,34314.0,1.413007,0.023747,5.421689,0.00618897066,33554432
vgg16_tile_matmul_2_1144,1,1,4096,1,4096,4096,1,1,4096,1,1,4,4,1,1,128,1,128,128,1,1,128,1024.0,103391232.0,0.00772,68197.0,1.033912,0.032454,4.203886,0.00798180064,33554432
vgg16_tile_matmul_2_1148,1,1,4096,1,4096,4096,1,1,4096,1,1,4,8,1,1,128,1,128,128,1,1,128,1024.0,103391232.0,0.00998,87166.0,1.033912,0.032454,3.251904,0.01031844176,33554432
vgg16_tile_matmul_2_11416,1,1,4096,1,4096,4096,1,1,4096,1,1,4,16,1,1,128,1,128,128,1,1,128,1024.0,115974144.0,0.0143,123904.0,1.159741,0.028933,2.023287,0.0165842963,33554432
vgg16_tile_matmul_2_11432,1,1,4096,1,4096,4096,1,1,4096,1,1,4,32,1,1,128,1,128,128,1,1,128,1024.0,158179328.0,0.00545,48528.0,1.581793,0.021213,3.892294,0.00862077185,33554432
vgg16_tile_matmul_2_11464,1,1,4096,1,4096,4096,1,1,4096,1,1,4,64,1,1,128,1,128,128,1,1,128,1024.0,157917184.0,0.00668,59018.0,1.579172,0.021248,3.180838,0.01054886896,33554432
vgg16_tile_matmul_2_114128,1,1,4096,1,4096,4096,1,1,4096,1,1,4,128,1,1,128,1,128,128,1,1,128,1024.0,158015488.0,0.00526,46210.0,1.580155,0.021235,4.037072,0.0083116153,33554432
vgg16_tile_matmul_2_1184,1,1,4096,1,4096,4096,1,1,4096,1,1,8,4,1,1,128,1,128,128,1,1,128,1024.0,139894784.0,0.00543,45972.0,1.398948,0.023985,4.417127,0.00759628764,33554432
vgg16_tile_matmul_2_1188,1,1,4096,1,4096,4096,1,1,4096,1,1,8,8,1,1,128,1,128,128,1,1,128,1024.0,133079040.0,0.00629,54129.0,1.33079,0.025214,4.008585,0.0083706691,33554432
vgg16_tile_matmul_2_11816,1,1,4096,1,4096,4096,1,1,4096,1,1,8,16,1,1,128,1,128,128,1,1,128,1024.0,129671168.0,0.00862,68583.0,1.296712,0.025877,3.001972,0.01117765744,33554432
vgg16_tile_matmul_2_11832,1,1,4096,1,4096,4096,1,1,4096,1,1,8,32,1,1,128,1,128,128,1,1,128,1024.0,158031872.0,0.00751,66323.0,1.580319,0.021233,2.827297,0.01186819569,33554432
vgg16_tile_matmul_2_11864,1,1,4096,1,4096,4096,1,1,4096,1,1,8,64,1,1,128,1,128,128,1,1,128,1024.0,158244864.0,0.011,88621.0,1.582449,0.021204,1.927636,0.017406939,33554432
vgg16_tile_matmul_2_118128,1,1,4096,1,4096,4096,1,1,4096,1,1,8,128,1,1,128,1,128,128,1,1,128,1024.0,157982720.0,0.00698,60834.0,1.579827,0.021239,3.042837,0.01102719246,33554432
vgg16_tile_matmul_2_11164,1,1,4096,1,4096,4096,1,1,4096,1,1,16,4,1,1,128,1,128,128,1,1,128,1024.0,138305536.0,0.00541,46175.0,1.383055,0.024261,4.484473,0.00748232755,33554432
vgg16_tile_matmul_2_11168,1,1,4096,1,4096,4096,1,1,4096,1,1,16,8,1,1,128,1,128,128,1,1,128,1024.0,131751936.0,0.00629,53893.0,1.317519,0.025468,4.048967,0.00828719451,33554432
vgg16_tile_matmul_2_111616,1,1,4096,1,4096,4096,1,1,4096,1,1,16,16,1,1,128,1,128,128,1,1,128,1024.0,128475136.0,0.00847,68399.0,1.284751,0.026117,3.083471,0.01088184097,33554432
vgg16_tile_matmul_2_111632,1,1,4096,1,4096,4096,1,1,4096,1,1,16,32,1,1,128,1,128,128,1,1,128,1024.0,159801344.0,0.00595,52147.0,1.598013,0.020998,3.529076,0.00950817735,33554432
