configuration,strides,dilation,input_batch,input_width,input_height,input_channel,kernel_width,kernel_height,kernel_input_channel,kernel_multiplier,output_batch,output_width,output_height,output_channel,output_multiplier,tiled_output_batch,tiled_output_width,tiled_output_height,tiled_input_channel,tiled_kernel_width,tiled_kernel_height,actual_input_batch,actual_input_width,actual_input_height,actual_input_channel,actual_kernel_width,actual_kernel_height,actual_kernel_input_channels,actual_output_batch,actual_output_width,actual_output_height,actual_output_channel,number_of_tiles,simulation_cycles,total_power,area,runtime_in_s,gflops,gflops_per_watt,energy_consumed,flop_count
mobilenetv3_small_tile_depthwise_conv2d_multiplier_6_114141633,1,1,1,18,18,240,5,5,240,1,1,14,14,240,1,1,14,14,16,3,3,1,18,18,30,5,5,30,1,14,14,30,8.0,6423928.0,0.00899,85302.0,0.064239,0.036613,4.072636,0.00057750861,2352000
mobilenetv3_small_tile_depthwise_conv2d_multiplier_6_114143033,1,1,1,18,18,240,5,5,240,1,1,14,14,240,1,1,14,14,30,3,3,1,18,18,30,5,5,30,1,14,14,30,8.0,6417176.0,0.00946,84927.0,0.064172,0.036651,3.874313,0.00060706712,2352000
mobilenetv3_small_tile_depthwise_conv2d_multiplier_6_11414455,1,1,1,18,18,240,5,5,240,1,1,14,14,240,1,1,14,14,4,5,5,1,18,18,30,5,5,30,1,14,14,30,8.0,5602312.0,0.0143,123136.0,0.056023,0.041983,2.935874,0.0008011289,2352000
mobilenetv3_small_tile_depthwise_conv2d_multiplier_6_11414855,1,1,1,18,18,240,5,5,240,1,1,14,14,240,1,1,14,14,8,5,5,1,18,18,30,5,5,30,1,14,14,30,8.0,5583016.0,0.0144,122713.0,0.05583,0.042128,2.925556,0.000803952,2352000
mobilenetv3_small_tile_depthwise_conv2d_multiplier_6_114141655,1,1,1,18,18,240,5,5,240,1,1,14,14,240,1,1,14,14,16,5,5,1,18,18,30,5,5,30,1,14,14,30,8.0,5567096.0,0.0144,120689.0,0.055671,0.042248,2.933889,0.0008016624,2352000
mobilenetv3_small_tile_depthwise_conv2d_multiplier_7_000000,1,1,1,18,18,120,5,5,120,1,1,14,14,120,1,0,0,0,0,0,0,1,18,18,30,5,5,30,1,14,14,30,4.0,2782700.0,0.0145,120682.0,0.027827,0.042261,2.914552,0.0004034915,1176000
mobilenetv3_small_tile_depthwise_conv2d_multiplier_7_144433,1,1,1,18,18,120,5,5,120,1,1,14,14,120,1,1,4,4,4,3,3,1,18,18,30,5,5,30,1,14,14,30,4.0,3297460.0,0.00988,92949.0,0.032975,0.035663,3.609615,0.000325793,1176000
mobilenetv3_small_tile_depthwise_conv2d_multiplier_7_144833,1,1,1,18,18,120,5,5,120,1,1,14,14,120,1,1,4,4,8,3,3,1,18,18,30,5,5,30,1,14,14,30,4.0,3251452.0,0.0105,93510.0,0.032515,0.036168,3.444571,0.0003414075,1176000
mobilenetv3_small_tile_depthwise_conv2d_multiplier_7_1441633,1,1,1,18,18,120,5,5,120,1,1,14,14,120,1,1,4,4,16,3,3,1,18,18,30,5,5,30,1,14,14,30,4.0,3222068.0,0.00958,91548.0,0.032221,0.036498,3.809812,0.00030867718,1176000
mobilenetv3_small_tile_depthwise_conv2d_multiplier_7_1443033,1,1,1,18,18,120,5,5,120,1,1,14,14,120,1,1,4,4,30,3,3,1,18,18,30,5,5,30,1,14,14,30,4.0,3213620.0,0.00952,90022.0,0.032136,0.036594,3.843908,0.00030593472,1176000
mobilenetv3_small_tile_depthwise_conv2d_multiplier_7_188433,1,1,1,18,18,120,5,5,120,1,1,14,14,120,1,1,8,8,4,3,3,1,18,18,30,5,5,30,1,14,14,30,4.0,3288060.0,0.0094,88212.0,0.032881,0.035765,3.804787,0.0003090814,1176000
mobilenetv3_small_tile_depthwise_conv2d_multiplier_7_188833,1,1,1,18,18,120,5,5,120,1,1,14,14,120,1,1,8,8,8,3,3,1,18,18,30,5,5,30,1,14,14,30,4.0,3246652.0,0.0092,87327.0,0.032467,0.036221,3.937065,0.0002986964,1176000
mobilenetv3_small_tile_depthwise_conv2d_multiplier_7_1881633,1,1,1,18,18,120,5,5,120,1,1,14,14,120,1,1,8,8,16,3,3,1,18,18,30,5,5,30,1,14,14,30,4.0,3219676.0,0.00903,85293.0,0.032197,0.036525,4.04485,0.00029073891,1176000
mobilenetv3_small_tile_depthwise_conv2d_multiplier_7_1883033,1,1,1,18,18,120,5,5,120,1,1,14,14,120,1,1,8,8,30,3,3,1,18,18,30,5,5,30,1,14,14,30,4.0,3212444.0,0.00899,85449.0,0.032124,0.036608,4.07208,0.00028879476,1176000
mobilenetv3_small_tile_depthwise_conv2d_multiplier_7_188455,1,1,1,18,18,120,5,5,120,1,1,14,14,120,1,1,8,8,4,5,5,1,18,18,30,5,5,30,1,14,14,30,4.0,2802620.0,0.0142,123211.0,0.028026,0.041961,2.955,0.0003979692,1176000
mobilenetv3_small_tile_depthwise_conv2d_multiplier_7_188855,1,1,1,18,18,120,5,5,120,1,1,14,14,120,1,1,8,8,8,5,5,1,18,18,30,5,5,30,1,14,14,30,4.0,2792252.0,0.0144,122121.0,0.027923,0.042116,2.924722,0.0004020912,1176000
mobilenetv3_small_tile_depthwise_conv2d_multiplier_7_1881655,1,1,1,18,18,120,5,5,120,1,1,14,14,120,1,1,8,8,16,5,5,1,18,18,30,5,5,30,1,14,14,30,4.0,2785500.0,0.0139,119907.0,0.027855,0.042219,3.037338,0.0003871845,1176000
mobilenetv3_small_tile_depthwise_conv2d_multiplier_7_1883055,1,1,1,18,18,120,5,5,120,1,1,14,14,120,1,1,8,8,30,5,5,1,18,18,30,5,5,30,1,14,14,30,4.0,2783676.0,0.0142,120735.0,0.027837,0.042246,2.97507,0.0003952854,1176000
